,initial_age,weight,family_kind,race,marital_status,accumulated_capital,annual_contribution,income,new_accumulated_capital
37,36,318,1,1,1,-117105.97405042702,0.04,187300.95,332292.9801841593
38,36,562,1,1,1,248088.42173158744,0.14,31657.03,513934.5192372607
39,53,587,3,1,5,-29999.525192713496,0.12,211309.96,402384.3238581562
40,44,647,1,1,1,-145485.470259673,0.16,51887.25,220335.59736996007
41,52,551,1,1,1,38423.50199144202,0.32,68751.27,457322.13594027964
42,61,572,2,1,3,312897.41328443354,0.15,133564.14,422282.2300244528
43,58,561,1,1,1,115164.68494862856,0.3,42458.79,272273.1461603312
44,61,591,1,1,1,-288024.5286338032,0.03,53212.75,-276833.64600163844
45,58,578,3,1,3,-76152.12977154632,0.19,21363.84,-38213.09564192038
46,59,552,1,1,1,70608.95330695083,0.3,68136.23,237371.1134175303
47,47,352,1,1,1,-16805.635923251513,0.31,13052.38,99639.44617420746
48,43,343,2,1,4,-74450.23492616149,0.26,39049.45,388519.14553130313
49,58,299,2,1,2,54474.15652553393,0.21,10855.47,75781.10613188733
50,63,277,2,1,2,13275.353696893955,0.16,30094.21,28365.486194583573
51,58,614,1,1,1,26081.51110228662,0.32,74806.7,249821.61100348225
52,57,561,3,1,3,-156766.05452016505,0.15,129884.1,52824.86981241059
53,57,561,2,1,5,53907.622742241954,0.33,78668.12,333186.4010520824
54,36,586,2,1,5,-300932.71179366106,0.08,56216.08,-31169.557221643743
55,41,345,3,1,3,-155386.19432056436,0.12,88141.94,309607.50798209966
56,45,345,2,1,3,-318099.0412904626,0.06,7139.79,-303786.25911759824
57,56,561,1,1,1,2461.4020875907363,0.15,174692.59,322966.1064248359
58,54,323,3,4,2,-231146.0318660896,0.34,24218.73,-104540.86800043627
59,54,309,2,4,3,-12806.915851703556,0.33,104263.74,516208.5589508608
60,49,336,1,1,1,231441.34599615284,0.03,61816.81,283598.46223123383
61,42,319,1,1,1,130759.59859973984,0.15,157907.15,1105486.5146689732
62,44,339,3,1,3,-304540.0210990801,0.12,94991.87,104467.40719436383
63,59,339,2,1,3,90914.20617094856,0.22,376312.67,752795.768045101
64,61,591,3,1,3,11859.406414273508,0.06,55895.78,30170.15854232355
65,52,591,1,1,1,-36269.28292974959,0.3,49733.75,293880.12758185127
66,46,308,3,4,5,90987.8405475623,0.17,61559.74,415877.18245215114
67,39,587,3,1,1,77235.72721445581,0.02,59571.22,136759.77147781863
68,53,621,1,1,1,-103836.88056915942,0.01,37751.87,-97399.53656059649
69,38,318,2,1,5,-234147.52690218712,0.31,75290.88,1006584.822801067
70,39,318,3,1,5,48841.01844383768,0.12,88026.35,576580.8586293099
71,56,614,1,1,1,17052.563325526007,0.1,79522.49,114318.02125789183
72,36,360,2,1,5,-41291.95872972282,0.25,73312.87,1058099.3921262182
73,35,332,1,1,1,154144.34565725044,0.12,159441.68,1371439.763206909
74,41,562,1,1,1,-60060.31403003638,0.15,21611.6,82454.95589544199
75,53,551,3,1,3,-22383.21130112624,0.18,122493.94,353588.6638244449
76,51,551,3,1,3,68897.18315702399,0.24,20579.23,170785.53987673705
77,46,551,2,1,5,-36004.11969600011,0.21,130420.85,814264.3747968186
78,61,521,3,1,3,-281223.5202413987,0.09,161155.25,-202034.88103955012
79,58,578,1,1,1,295660.46547998633,0.24,63965.45,448526.03890988906
80,63,638,2,1,3,141930.75546871268,0.23,51753.44,180232.6149455426
81,58,578,1,1,1,-218667.17030405908,0.29,160078.61,215227.83910431087
82,58,613,1,1,1,-142302.07128242185,0.17,56648.2,-33430.82532701689
83,60,656,3,1,3,23880.757771127057,0.31,69421.76,168070.1926047001
84,61,525,2,1,5,-65315.48036080689,0.2,28219.27,-34501.22460336457
85,61,545,1,1,1,-117564.03148357036,0.26,39916.74,-60900.41027819098
86,60,299,1,1,1,566626.7210408133,0.09,52771.61,607708.1959589693
87,44,304,1,1,1,58241.12243267061,0.2,104522.24,808311.8492199585
88,40,286,3,1,5,-149009.61201093585,0.07,57160.46,38635.928877079394
89,40,336,1,1,1,68205.02537586076,0.2,95143.59,960593.6454403278
90,59,308,1,1,1,-5160.777793190488,0.05,144027.12,52412.77662864657
91,48,302,1,1,1,-15102.0281018622,0.2,87203.32,448956.7150946074
92,42,337,1,1,1,12453.799121462103,0.29,14758.88,188587.03101292092
93,54,621,1,1,1,-98606.17089825076,0.09,10895.86,-83528.81588415877
94,63,354,3,1,3,-141460.4576426003,0.32,21636.64,-119761.94723778746
95,46,308,1,1,1,-112742.5766807204,0.31,64365.24,528818.4342417619
96,35,344,1,1,1,85714.04587024963,0.33,58251.76,1374606.4623463769
97,61,350,3,1,3,41240.72846860808,0.12,198938.74,171580.3697369326
98,47,644,1,1,1,123068.31747253932,0.09,52899.96,299674.05662417895
99,59,613,3,1,3,-75397.65738214241,0.01,25503.55,-73358.69413150594
100,52,569,2,1,3,1848.4674081593148,0.04,54640.49,42942.48277104004
101,48,593,3,1,5,19046.270499889462,0.25,160142.23,1084306.773002546
102,61,619,3,1,3,-52402.52717317276,0.16,113877.45,47076.98081708635
103,39,318,3,1,3,95933.85247965416,0.05,57786.34,240285.29685068323
104,37,318,2,1,3,7424.720190636249,0.25,63316.68,901735.5127698041
105,59,593,2,1,3,137729.87877768106,0.28,37000.06,245806.380887812
106,45,593,3,1,3,40014.55173178135,0.01,215954.02,112166.60026575782
107,58,587,1,1,1,371793.1304393215,0.23,62727.65,517669.5942341614
108,47,578,3,1,3,-99001.55058647488,0.25,28268.3,104379.0140861946
109,63,615,3,1,3,-195721.7965811589,0.01,111729.39,-192220.2690053685
110,49,305,1,1,1,91594.17743422095,0.04,75531.16,165701.126043177
111,49,302,1,1,1,162338.2463931727,0.13,112679.4,521641.09758115927
112,49,294,1,1,1,192751.98608077937,0.07,32318.91,248243.62230506196
113,62,621,2,1,3,33630.11407302681,0.1,125234.53,87128.1660828792
114,59,578,1,1,1,24171.20366299901,0.14,110307.02,147635.09166843767
115,52,625,2,1,5,256293.80563946,0.01,57453.19,267096.1532781182
116,47,660,1,1,1,-126034.98436208656,0.18,29245.92,25463.23948793758
117,53,569,2,1,3,45757.19302455328,0.18,77382.99,283269.5781525304
118,51,594,1,1,1,-33427.59410116461,0.09,80367.6,115785.7638118965
119,61,621,1,1,1,100153.81049732308,0.02,88950.05,109866.78177665554
120,60,656,1,1,1,-88379.62579785292,0.07,43351.34,-59073.51747009252
121,48,295,2,1,3,-224387.47380531963,0.33,102636.11,676818.5118353431
122,48,316,3,1,4,-23648.75344788534,0.35,44450.44,425505.3635947277
123,52,551,3,1,3,13119.787106220894,0.19,90855.46,337689.98089378723
124,61,572,2,1,3,-100762.9845913296,0.29,84754.5,33432.121001816835
125,61,234,2,3,3,37497.14759878947,0.32,29860.2,89666.87926191918
126,46,320,3,1,5,-128427.9618024882,0.05,70151.9,-19535.15093599097
127,42,320,3,1,3,-141939.99621777798,0.06,53562.48,-9688.12301907866
128,39,345,2,1,5,111441.6532049696,0.1,60305.96,412732.66523935366
129,52,281,1,1,1,-185846.0331145129,0.28,58115.38,150169.95271808907
130,47,336,1,1,1,78009.97737503791,0.26,99067.06,819273.059604662
131,43,286,1,1,1,-125129.87124045928,0.0,51966.2,-125129.87124045928
132,45,660,3,1,5,141408.59409807788,0.24,53886.98,573506.7968146843
133,51,294,1,1,1,-103227.75913656502,0.26,23442.32,22507.80455422758
134,48,647,2,1,3,268609.7489375139,0.23,73566.19,718820.6895774528
135,43,647,3,1,3,-101251.57768616812,0.12,85494.99,293321.5710749196
136,62,551,1,1,1,81473.81949865304,0.01,109908.68,86168.93056664222
137,55,616,2,1,3,-27932.26234443296,0.2,30310.7,55539.53162499342
138,60,591,1,1,1,14841.9098354652,0.22,94887.7,154706.80577311703
139,56,578,3,1,3,-80557.92261113154,0.05,26025.03,-64642.06999727627
140,41,313,1,1,1,41117.70627242291,0.33,114119.75,1696727.4410987126
141,44,343,1,1,1,-110688.9967095426,0.34,157461.39,1810262.9911640643
142,56,614,3,1,3,71227.91380542977,0.07,22644.36,90615.63458089522
143,42,301,1,1,1,-121148.04553647494,0.25,123353.9,1147913.831776792
144,36,309,1,1,1,-283621.484612912,0.35,48445.99,846235.2426037183
145,38,309,1,1,1,-89224.19803506618,0.04,88139.92,98191.80951781162
146,56,309,2,1,3,34649.310858522986,0.32,69145.72,305284.3020863136
147,39,309,3,1,5,-143656.70286273304,0.27,32475.48,417149.0323773393
148,59,616,2,1,2,8308.1430673426,0.14,164074.42,191952.53682793287
149,63,579,3,1,3,-19851.525100317973,0.02,36641.65,-16742.962021492705
150,43,579,2,1,3,110978.578445517,0.1,11150.01,153861.15509725624
151,56,666,1,1,1,-92243.11306176538,0.21,50002.81,71186.90234692594
152,44,666,3,1,5,169697.1079381156,0.02,60947.42,213434.09215813433
153,41,328,1,1,1,32657.40996676645,0.13,38868.96,254798.80390827343
154,38,328,1,1,1,-3020.0150899846744,0.13,63013.24,468723.6468676549
155,42,591,1,1,1,-64389.0430594834,0.2,19861.26,99076.67890897903
156,48,660,1,1,1,-274492.0067383053,0.06,43646.5,-174383.72399054217
157,40,300,3,1,2,74757.44698667098,0.13,53896.68,403344.05517873634
158,41,300,2,1,5,-157394.15669368842,0.26,74255.69,691368.5827615696
159,63,663,3,1,3,-105870.1895272634,0.08,42006.6,-92818.03544943931
160,60,614,1,1,1,62668.138839211264,0.02,101508.46,76270.31392205445
161,56,550,2,1,3,634590.6708282295,0.23,140292.64,1029258.1933180715
162,52,587,3,1,3,-301269.1922862795,0.01,48102.79,-291233.99910495145
163,62,278,3,1,3,-34827.19201069689,0.1,77767.88,-1606.082074515878
164,40,345,1,1,1,70789.52191176618,0.07,111472.45,436729.68709522055
165,57,359,2,4,3,52285.80463702983,0.01,95411.43,62550.01701590856
166,50,317,3,1,3,7417.363575260744,0.16,84297.0,311385.2578776788
167,47,315,1,1,1,-123906.24690713736,0.29,65756.83,441490.1901763493
168,63,656,1,1,1,62001.81409711784,0.31,120827.57,179388.23423592918
169,53,621,3,1,5,-91037.871744777,0.01,20949.18,-87465.67576197386
170,60,656,3,1,3,234119.84024046463,0.18,106481.19,362536.54663799464
171,57,551,1,1,1,88725.62806231248,0.02,140781.32,119015.69640022308
172,61,521,1,1,1,-12888.94858958734,0.31,29014.57,36219.220758589654
173,50,551,3,1,5,-97233.82075859056,0.07,19770.57,-66044.00252335539
174,42,278,2,1,3,-13350.80457041318,0.34,86024.03,1190267.0066861408
175,53,331,1,1,1,21537.37814086863,0.29,55537.47,329672.28487536334
176,42,332,3,4,3,58061.34464492171,0.32,48537.79,722368.2801272117
177,38,313,3,1,2,-35402.143310300984,0.02,146662.65,120525.66057314412
178,37,357,2,1,5,151715.25589027497,0.18,42247.37,649344.6572181163
179,55,616,2,1,3,47156.2698422152,0.17,87771.61,252611.29675819268
180,51,594,1,1,1,-61201.89511457091,0.35,23320.12,107175.20298735035
181,45,591,3,1,3,-79096.04505367641,0.22,42604.06,283300.2637426822
182,57,562,2,1,3,236171.9968276771,0.25,24846.6,302995.95578444155
183,57,613,1,1,1,47872.33536446839,0.02,36325.84,55688.08944343289
184,56,550,2,1,3,726941.1368131585,0.17,41008.89,834428.9264194476
185,47,593,1,1,1,489696.7837195629,0.09,88146.36,718002.423939546
186,58,614,1,1,1,740381.6431887951,0.02,13044.17,742820.0142662923
187,38,318,1,1,1,116477.6065014968,0.04,30077.11,180431.96310777392
188,57,545,2,1,3,16467.99678445813,0.22,91619.36,233305.88003652575
189,54,561,1,1,1,77480.99346966618,0.03,120044.24,132852.16575824982
190,52,294,1,1,1,14255.68297581187,0.14,180701.58,489912.7875544654
191,51,315,1,1,1,18151.864244254142,0.13,28341.54,94158.409410542
192,35,313,1,1,1,-55020.413722034325,0.04,140469.02,302460.96411612217
193,57,660,1,1,1,71160.93739660742,0.07,86435.52,136251.1235568163
194,38,313,1,1,1,77018.3531855649,0.32,168009.51,2934989.778175767
195,41,300,1,1,1,94420.47725503628,0.09,12123.9,142390.2957150163
196,50,322,3,1,3,-97046.9446753114,0.06,97117.62,34277.29484861471
197,36,306,2,1,5,7789.398865698812,0.16,94730.34,916951.1672451288
198,37,306,3,1,3,-26954.691312988783,0.16,45720.41,432418.27790888154
199,49,338,2,1,3,-60172.45841953243,0.16,87047.13,281450.6380332225
200,45,266,1,1,1,-107629.67983594596,0.19,133606.92,740514.9694277593
201,50,336,1,1,1,448467.57118270645,0.31,98259.53,1134954.0529870735
202,35,338,1,4,1,81187.16888335101,0.04,7315.7,99804.98593547114
203,56,578,3,1,3,10963.066074047883,0.12,110367.45,172954.07865543186
204,47,315,3,1,3,-55023.80023558719,0.08,22553.47,-3099.2066640955964
205,41,315,2,1,3,19138.351018535013,0.13,33720.31,290098.4366899382
206,42,328,1,1,1,58195.93590851216,0.2,86326.63,768696.9261807472
207,58,616,2,1,5,-66794.24432638362,0.12,48719.25,-6881.384072628767
208,62,350,1,1,1,25021.72851917536,0.33,74804.85,130474.39715964043
209,48,660,2,1,3,29774.500860311487,0.31,3258.46,56651.701420470796
210,49,660,3,1,5,-39718.10504550262,0.22,34416.66,212040.91630121565
211,51,331,3,1,3,85609.03374787928,0.27,74450.97,500294.0274611882
212,46,352,1,1,1,89115.88198097725,0.16,72442.97,448953.0299215956
213,47,567,2,1,3,26681.19872580972,0.06,79478.97,163918.83493203783
214,46,295,2,1,2,650593.3372563366,0.15,12720.97,709831.455407736
215,51,587,1,1,1,114763.87312870266,0.01,46979.03,128171.75075060452
216,50,587,3,1,3,-91820.09719202736,0.14,15256.18,-43684.15764511191
217,54,551,3,1,2,-72022.03093471643,0.09,4243.51,-66149.99267652942
218,52,551,3,1,3,33970.87003446786,0.16,61110.34,217810.3085747053
219,55,294,1,1,1,17458.105848037885,0.14,57864.69,151332.250132219
220,55,561,1,1,1,-108542.57872303748,0.25,175353.24,495082.93640657736
221,58,545,2,1,5,-368455.2304815564,0.22,147944.41,-64244.45473765751
222,59,561,1,1,1,-106175.68692932502,0.24,95829.59,77698.02069198401
223,46,308,1,1,1,440.23728343586095,0.01,56891.27,22080.11705499975
224,51,538,2,1,3,-122836.98640889474,0.08,97494.22,38061.90477848507
225,53,538,2,1,3,59514.00203537222,0.15,38065.19,188344.62549916015
226,39,586,2,1,4,-88044.8395738676,0.21,33020.69,371340.6283621191
227,48,578,1,1,1,93821.44981223278,0.2,74689.1,491284.8706599189
228,62,591,3,1,3,96626.70014001676,0.23,107864.87,202606.169046721
229,63,591,1,1,1,161912.4211704895,0.19,116974.18,231564.4439872608
230,54,625,2,1,5,-35319.092950118174,0.11,94859.55,125114.34211499523
231,61,591,1,1,1,-128849.09742590223,0.08,91259.51,-88988.4790408219
232,62,578,1,1,1,43495.48439976342,0.05,16732.14,47069.326597902116
233,35,582,2,1,5,103381.52365128926,0.31,32164.98,882802.1717188903
234,49,315,3,1,3,23423.660990911107,0.06,87559.45,152286.31174415897
235,63,613,1,1,1,193679.03293037825,0.09,57040.03,213352.877157526
236,42,644,3,1,5,-135678.515003635,0.31,49646.7,516886.4743976457
237,43,644,2,1,3,83667.53277496307,0.13,84971.86,508506.2539597972
238,41,644,3,1,5,36069.326710338224,0.25,86905.22,991213.8545127747
239,63,617,1,1,1,-11329.887872589165,0.13,129488.31,41425.1620448717
240,63,617,3,1,3,-163064.06865838025,0.23,67804.83,-114189.98918487778
241,47,660,1,1,1,-78272.44926069249,0.16,15238.44,-8105.880332402492
242,56,614,3,1,3,-213453.64161984625,0.05,76634.05,-166587.365384898
243,59,587,1,1,1,14956.151011245996,0.01,113256.34,24010.793018401426
244,61,619,1,1,1,-38794.263086583785,0.34,37651.69,31099.64164985648
245,39,318,3,1,3,6494.397835068547,0.27,61230.98,832458.0109929428
246,52,313,3,1,5,-129588.2467615828,0.18,30783.84,24416.648124752377
247,51,551,3,1,3,19029.55437766952,0.15,51518.36,183803.30095842126
248,49,244,1,1,1,155551.47494866466,0.09,58934.54,310689.77787650016
249,53,551,1,1,1,238117.18968173448,0.3,12128.96,300163.0867348601
250,47,530,2,1,3,76260.40369285627,0.34,48731.76,572164.3326227587
251,53,344,1,2,1,-166212.05093496584,0.1,147362.33,85066.10087933441
252,40,617,2,1,5,-434750.3402374457,0.0,83830.82,-434750.3402374457
253,40,329,3,1,3,25779.912378864967,0.34,83473.1,1356755.0804018034
254,45,336,1,1,1,-130434.70575222936,0.16,121122.01,517051.3577387145
255,53,301,1,1,1,-166634.7944530859,0.08,38815.39,-113685.25457460394
256,56,316,2,1,2,38981.59201172336,0.3,91818.23,375895.42057101347
257,50,304,1,1,1,-103524.90130094445,0.29,102214.15,564518.429392121
258,38,301,1,1,1,124756.04376335394,0.14,53199.26,599794.1895464766
259,47,341,1,1,1,-151945.15167919674,0.04,92675.68,-45262.07767857486
260,35,315,1,1,1,58147.96515061047,0.08,117185.82,654603.3030848283
261,39,315,3,1,3,97732.98624588546,0.0,8555.79,97732.98624588546
262,37,347,2,1,5,89659.52713612258,0.1,69594.96,482854.6462555425
263,51,288,1,1,1,621080.6180962581,0.03,30197.71,639769.3339070444
264,57,293,3,1,2,-142543.5313575417,0.06,30084.0,-123125.19341588079
265,41,324,1,4,1,-100639.21801273512,0.1,43786.12,173555.34788157095
266,55,281,1,1,1,66372.76945837958,0.02,39865.98,77351.35084696273
267,58,566,1,1,1,-56551.21720925001,0.28,12798.47,-23057.03036723387
268,58,551,3,1,3,-100655.153904391,0.05,30689.71,-86312.94178189161
269,59,566,1,1,1,-120927.18353398096,0.34,18336.02,-71085.49435503139
270,35,312,1,1,1,-4757.795398838157,0.34,75884.01,1636746.671784159
271,51,566,1,1,1,-220364.2118660948,0.34,42189.63,147577.9727652424
272,57,551,1,1,1,-127322.91624256223,0.31,75200.96,123467.13438976227
273,44,300,1,1,1,125012.24935493604,0.25,52244.51,662427.5880964648
274,35,337,1,1,1,4125.320732225942,0.35,10346.26,234515.68511562023
275,59,551,3,1,3,81749.39001199297,0.31,63156.53,238276.19333699305
276,55,588,2,1,3,-51691.74076581283,0.08,35857.98,2430.2444563999816
277,62,564,1,1,1,14069.463058460571,0.13,5960.53,17379.57063925455
278,36,298,1,1,1,-39275.235548915065,0.31,26826.4,459558.91249229875
279,54,625,3,1,4,-167077.00076790125,0.32,59341.81,124888.74656448403
280,56,385,2,4,3,-25182.237777407743,0.23,21436.99,35123.73217896004
281,43,327,1,1,1,490431.8440233152,0.09,107067.02,861030.5002416477
282,63,588,3,1,3,-279468.99255383364,0.12,100852.87,-241541.0197542752
283,36,303,1,1,1,212507.27896132952,0.23,22669.1,525255.0335363904
284,53,310,2,1,3,4365.179627311174,0.27,43176.58,232249.63395434833
285,56,585,1,1,1,-76687.50259198,0.13,115776.71,107403.77939464456
286,54,545,2,1,5,10668.670791465876,0.07,59791.72,75020.40036176227
287,48,301,1,1,1,-42776.0983490568,0.01,56674.98,-24247.48335483757
288,42,286,1,1,1,-59335.26128276462,0.03,49813.22,22962.27052085622
289,48,301,1,1,1,-43565.3252496238,0.28,19242.92,99798.29185672366
290,56,535,2,1,3,235591.96762023872,0.1,79088.86,332327.0445179663
291,56,535,3,1,3,48907.18992828699,0.08,152621.63,198246.70615655498
292,51,526,1,1,1,6622.026348388753,0.35,46060.52,401539.19918066857
293,47,294,3,1,5,59834.15437568378,0.15,82777.01,417165.19378835184
294,53,526,1,1,1,13193.098606041342,0.33,27203.52,166269.16461194033
295,42,588,2,1,5,109451.81442640508,0.07,6121.54,127085.72508869879
296,42,588,2,1,3,126344.67999872568,0.07,45251.94,278890.9334005867
297,38,301,1,1,1,-246397.6881926916,0.33,37709.43,415114.6463542586
298,50,526,3,1,4,68296.9086503052,0.31,94159.15,726136.2410101248
299,46,300,1,1,1,138401.45916765791,0.03,36210.35,172125.8212501646
300,54,566,1,1,1,70926.68818521428,0.13,101969.84,274741.72761132085
301,48,248,1,1,1,62828.05990010226,0.07,11307.45,83888.75303099363
302,36,586,3,1,3,-260095.45141134868,0.02,26995.62,-227709.59486093
303,41,586,2,1,3,123507.94850517112,0.25,35925.99,613351.2722771938
304,53,375,1,4,1,11884.943377088151,0.27,18441.8,96790.3451466462
305,63,625,1,1,1,276598.79118703713,0.14,146135.45,340715.8718554052
306,43,327,1,1,1,63981.73380278045,0.17,57630.81,491846.5147412974
307,56,592,1,1,1,-21356.73371809906,0.22,75750.57,182477.5593895867
308,42,327,2,1,3,89442.35528100336,0.23,218464.46,2157194.767771592
309,38,685,2,1,3,15213.944014885476,0.05,35075.72,144508.60003359243
310,36,615,1,1,1,88925.18560864846,0.18,48466.67,723244.7466594075
311,51,625,3,1,3,84091.39549693743,0.19,61246.11,324149.46327555244
312,39,303,3,1,3,10696.80670904247,0.18,69055.24,631701.7896755536
313,53,300,1,4,1,13275.576647414808,0.04,4047.9,16036.523303806862
314,50,298,3,1,3,66153.37942340296,0.08,18930.41,100284.11281831286
315,54,310,2,1,3,-176500.6932463185,0.13,68962.83,-38659.32843309641
316,51,591,1,1,1,-247708.5997172265,0.0,13491.09,-247708.5997172265
317,44,566,2,1,5,596927.8623823457,0.0,30332.45,596927.8623823457
318,43,566,3,1,5,147872.22374847528,0.11,100832.98,574452.6297983909
319,46,529,2,1,5,-120185.0424129198,0.26,73831.05,475754.4393597689
320,57,585,1,1,1,-261769.52816732225,0.02,34854.8,-254270.27845220233
321,45,301,1,1,1,-120704.82930860708,0.21,72216.0,385982.56218113017
322,60,600,2,1,3,63963.6603607208,0.1,3190.42,66101.2482734822
323,45,657,2,1,5,138902.43088460105,0.2,58804.72,531845.4297198992
324,42,258,2,1,3,-268075.8639739269,0.11,163576.78,472388.6403922106
325,44,258,3,3,5,-30174.03849919555,0.1,81455.87,262097.07821238105
326,35,318,1,1,1,32804.57854218769,0.2,70401.35,931724.0142221479
327,63,586,1,1,1,-121730.26235176824,0.22,161118.67,-10644.430311041695
328,50,617,1,1,1,168583.90880287287,0.26,58729.14,545436.2560822169
329,43,294,1,1,1,86768.66478210689,0.03,65279.5,168965.89269124094
330,37,559,2,1,3,-189309.8152924628,0.03,31219.27,-111581.73602631429
331,52,526,1,1,1,42071.26082248847,0.24,31220.44,182952.85697902687
332,49,301,1,1,1,77075.4919742791,0.32,201701.18,1660258.801286705
333,62,497,1,1,1,65724.9258061016,0.19,51473.09,120243.45902379902
334,36,312,1,1,1,-33853.49444124648,0.07,89207.82,340716.55862419517
335,61,265,1,1,1,31628.407449336733,0.26,60899.25,126494.94406165028
336,46,280,3,2,3,-103029.33382579136,0.06,42294.29,-5876.364990139846
337,50,273,2,1,4,-286255.75188316224,0.26,20752.6,-164653.5394632293
338,60,545,2,1,3,-273572.0997763754,0.02,144177.52,-254252.25323304173
339,49,349,1,1,1,55353.95342329539,0.14,73448.51,307576.4447223881
340,45,344,3,1,3,-125938.43660360535,0.05,84095.44,14546.520989823723
341,41,344,2,1,3,199616.4719855535,0.12,20634.05,308471.6129434027
342,37,351,1,1,1,-156134.99332601434,0.23,47634.8,575785.2072496654
343,43,336,3,1,3,-65252.16664561165,0.02,108656.33,18325.577229446295
344,44,494,2,4,5,186719.76393955515,0.23,79189.41,840239.1207715557
345,50,363,1,1,1,138744.85456173166,0.3,55469.3,555193.1144444037
346,57,399,2,4,3,-6707.456422971889,0.3,45823.68,156034.37782821295
347,54,395,3,4,3,21381.13863826985,0.25,63908.55,267033.02863895916
348,42,326,3,1,1,74495.63397385494,0.2,220440.35,1888803.536077274
349,35,310,3,1,3,-113470.98834138368,0.19,43241.23,476574.9859765675
350,43,211,1,3,1,637190.4236497876,0.16,126434.27,1415209.7832280044
351,42,303,2,1,5,237970.03012066003,0.26,103773.83,1348297.5347753111
352,45,303,3,1,5,74749.1906880331,0.16,29443.75,232147.65015804584
353,40,324,2,1,3,278641.0802718428,0.01,42989.44,303204.9702046626
354,52,566,1,1,1,-227549.91950713508,0.03,188802.02,-121054.26339539111
355,52,566,1,1,1,631315.0886613143,0.04,68785.63,684876.154268831
356,35,312,1,1,1,-83752.85956350208,0.1,24458.93,71861.73781973272
357,46,607,2,1,3,-65961.5125990294,0.34,143516.57,1448892.3181580163
358,50,566,3,1,3,-42262.54237380959,0.23,58572.65,261349.03109328306
359,52,300,1,4,1,1985.1268647017653,0.03,138062.76,79860.79901481036
360,63,583,3,1,2,97134.6249281268,0.18,39773.65,126007.29758546458
361,49,563,3,1,3,64489.16411341445,0.09,62083.49,201543.0701637509
362,56,598,1,1,1,-16634.668089123497,0.2,54779.62,144403.2721618961
363,60,625,2,1,2,22477.887654108235,0.29,37161.61,116134.30254426361
364,60,595,1,1,1,-67663.00942828038,0.19,5132.52,-61129.29156147552
365,52,592,1,1,1,263297.3903277824,0.14,16552.16,306867.3054337965
366,50,572,2,1,5,182578.8276662721,0.33,65017.72,666128.7178940969
367,48,571,2,1,5,100664.6340075637,0.13,130196.45,551016.9901009704
368,48,345,2,1,3,51663.19223522304,0.29,90690.98,751460.128718621
